combo,size,matches,avg_points,avg_score_final,combo_size
Afonso Moreira + Clinton Mata + Ruben Kluivert,3,6,1.5,56.6,3
Afonso Moreira + Corentin Tolisso + Ruben Kluivert,3,6,1.5,56.6,3
Afonso Moreira + Ruben Kluivert + Tyler Morton,3,6,1.5,56.6,3
Abner + Adam Karabec + Ruben Kluivert,3,6,1.5,56.55,3
Abner + Clinton Mata + Ruben Kluivert,3,6,1.5,56.55,3
Abner + Corentin Tolisso + Ruben Kluivert,3,6,1.5,56.55,3
Abner + Pavel Šulc + Ruben Kluivert,3,6,1.5,56.55,3
Abner + Ruben Kluivert + Tyler Morton,3,6,1.5,56.55,3
Adam Karabec + Pavel Šulc + Ruben Kluivert,3,6,1.5,56.55,3
Clinton Mata + Pavel Šulc + Ruben Kluivert,3,6,1.5,56.55,3
Corentin Tolisso + Pavel Šulc + Ruben Kluivert,3,6,1.5,56.55,3
Pavel Šulc + Ruben Kluivert + Tyler Morton,3,6,1.5,56.55,3
Adam Karabec + Ainsley Maitland-Niles + Ruben Kluivert,3,6,1.5,56.45,3
Adam Karabec + Ruben Kluivert + Tanner Tessmann,3,6,1.5,56.45,3
Ainsley Maitland-Niles + Clinton Mata + Ruben Kluivert,3,6,1.5,56.45,3
Ainsley Maitland-Niles + Corentin Tolisso + Ruben Kluivert,3,6,1.5,56.45,3
Ainsley Maitland-Niles + Ruben Kluivert + Tanner Tessmann,3,6,1.5,56.45,3
Ainsley Maitland-Niles + Ruben Kluivert + Tyler Morton,3,6,1.5,56.45,3
Clinton Mata + Ruben Kluivert + Tanner Tessmann,3,6,1.5,56.45,3
Corentin Tolisso + Ruben Kluivert + Tanner Tessmann,3,6,1.5,56.45,3
Ruben Kluivert + Tanner Tessmann + Tyler Morton,3,6,1.5,56.45,3
Afonso Moreira + Khalis Merah + Malick Fofana,3,4,1.5,56.38,3
Khalis Merah + Malick Fofana + Nicolás Tagliafico,3,4,1.5,56.38,3
Khalis Merah + Moussa Niakhate + Nicolás Tagliafico,3,6,1.5,56.05,3
Khalis Merah + Pavel Šulc + Tyler Morton,3,8,1.5,55.7,3
Clinton Mata + Khalis Merah + Nicolás Tagliafico,3,6,1.5,55.65,3
Ainsley Maitland-Niles + Khalis Merah + Tyler Morton,3,8,1.5,55.62,3
Khalis Merah + Tanner Tessmann + Tyler Morton,3,8,1.5,55.62,3
Abner + Adam Karabec + Rémy Descamps,3,4,1.5,55.18,3
Abner + Ainsley Maitland-Niles + Rémy Descamps,3,4,1.5,55.18,3
Abner + Clinton Mata + Rémy Descamps,3,4,1.5,55.18,3
Abner + Corentin Tolisso + Rémy Descamps,3,4,1.5,55.18,3
Abner + Khalis Merah + Malick Fofana,3,4,1.5,55.18,3
Abner + Khalis Merah + Rémy Descamps,3,4,1.5,55.18,3
Abner + Malick Fofana + Rémy Descamps,3,4,1.5,55.18,3
Abner + Moussa Niakhate + Rémy Descamps,3,4,1.5,55.18,3
Abner + Pavel Šulc + Rémy Descamps,3,4,1.5,55.18,3
Abner + Rémy Descamps + Tanner Tessmann,3,4,1.5,55.18,3
Abner + Rémy Descamps + Tyler Morton,3,4,1.5,55.18,3
Adam Karabec + Ainsley Maitland-Niles + Rémy Descamps,3,4,1.5,55.18,3
Adam Karabec + Clinton Mata + Rémy Descamps,3,4,1.5,55.18,3
Adam Karabec + Corentin Tolisso + Rémy Descamps,3,4,1.5,55.18,3
Adam Karabec + Khalis Merah + Rémy Descamps,3,4,1.5,55.18,3
Adam Karabec + Malick Fofana + Rémy Descamps,3,4,1.5,55.18,3
Adam Karabec + Moussa Niakhate + Rémy Descamps,3,4,1.5,55.18,3
Adam Karabec + Pavel Šulc + Rémy Descamps,3,4,1.5,55.18,3
Adam Karabec + Rémy Descamps + Tanner Tessmann,3,4,1.5,55.18,3
Adam Karabec + Rémy Descamps + Tyler Morton,3,4,1.5,55.18,3
Ainsley Maitland-Niles + Clinton Mata + Rémy Descamps,3,4,1.5,55.18,3
Ainsley Maitland-Niles + Corentin Tolisso + Rémy Descamps,3,4,1.5,55.18,3
Ainsley Maitland-Niles + Khalis Merah + Rémy Descamps,3,4,1.5,55.18,3
Ainsley Maitland-Niles + Malick Fofana + Rémy Descamps,3,4,1.5,55.18,3
Ainsley Maitland-Niles + Moussa Niakhate + Rémy Descamps,3,4,1.5,55.18,3
Ainsley Maitland-Niles + Pavel Šulc + Rémy Descamps,3,4,1.5,55.18,3
Ainsley Maitland-Niles + Rémy Descamps + Tanner Tessmann,3,4,1.5,55.18,3
